ID,LINE,STATIONA,STATIONB,UNIMPEDED,PEAK,OFFPEAK
499,7,PRR,NWP,2.3,2.5,2.5
500,7,PRR,WPK,1.98,2.55,2.53
501,9,PRY,ALP,2.37,2.5,2.5
502,9,PRY,NEL,1.52,2.5,2.03
503,4,PUT,EPY,2.18,2,2
504,4,PUT,PGR,1.92,2,2
505,6,QBY,CPK,2.23,2.5,2.5
506,6,QBY,KBY,1.72,2,2
507,1,QPK,KGN,2.83,2.72,2.72
508,1,QPK,KPK,1.42,1.5,1.5
509,2,QWY,LAN,1.35,1.5,1.5
510,2,QWY,NHG,1.18,1.5,1.5
511,4,RCP,HMD,1.85,2,2
512,4,RCP,STB,1.37,1.5,1.5
513,2,RED,GHL,1.65,1.75,1.75
514,2,RED,WAN,1.58,1.75,1.75
515,7,RKY,CWD,4.03,4,4
516,7,RKY,MPK,3.78,4.5,4.5
517,9,RLN,ETE,2.2,2.5,2.5
518,7,RLN,ETE,2.23,2.52,2.5
519,9,RLN,SHR,2.58,3.74,4.46
520,7,RLN,WHR,2.08,2,2
521,4,RMD,KEW,3.1,3.02,3
522,5,ROA,PADs,1.52,2,2
523,5,ROA,WBP,1.72,2,2
524,2,ROD,CHG,2.13,2.25,2.25
525,2,ROD,WFD,2.03,2.78,2.22
526,1,RPK,BST,1.65,2,2
527,1,RPK,OXC,1.85,2,2
528,9,RSQ,HOL,1.37,1.5,1.5
529,9,RSQ,KXX,1.9,2.47,2.05
530,2,RUG,SRP,1.3,1.5,1.5
531,2,RUG,WRP,2.68,2.86,2.75
532,9,RUI,ICK,2.23,2.5,2.5
533,7,RUI,ICK,2.57,2.6,2.5
534,9,RUI,RUM,1.3,1.5,1.5
535,7,RUI,RUM,1.45,1.5,1.5
536,9,RUM,ETE,1.67,2,2
537,7,RUM,ETE,1.82,2,2
538,9,RUM,RUI,1.27,1.95,1.5
539,7,RUM,RUI,1.35,1.52,1.5
540,2,SBC,HPK,1.37,1.75,1.75
541,2,SBC,WCT,2.77,3.74,3.97
542,5,SBM,GLR,1.15,1,1
543,5,SBM,LTR,1.63,2,2
544,9,SEL,ACT,2.93,4.11,4.28
545,9,SEL,NFD,0.95,2.87,1.98
546,2,SFD,LEY,2.4,2.75,2.75
547,2,SFD,MLE,3.03,3,3
548,6,SFD,WHM,2.42,3.5,3.12
549,4,SFS,EPY,2.37,2.5,2.5
550,4,SFS,WMP,2.05,2.5,2.51
551,9,SGT,AGR,3.28,4.31,4.35
552,9,SGT,OAK,2.48,3.9,3.51
553,9,SHL,SHR,2.05,3.91,2.75
554,9,SHL,STN,2.03,2.5,2.5
555,9,SHR,RLN,2.4,3.43,3.06
556,9,SHR,SHL,1.85,2,2
557,4,SJP,VIC,1.33,2,2
558,3,SJP,VIC,1.33,2,2
559,4,SJP,WMS,1.5,2,2
560,3,SJP,WMS,1.5,2,2
561,6,SJW,BST,2.77,3.5,3.5
562,6,SJW,SWC,1.52,1.5,1.5
563,9,SKN,GRD,1.37,1.5,1.5
564,4,SKN,GRD,1.48,2,2.01
565,3,SKN,GRD,1.48,2.02,2.54
566,9,SKN,KNB,2.48,3,3
567,4,SKN,SSQ,1.98,2,2
568,3,SKN,SSQ,1.98,2,2
569,1,SKT,KNT,2,2,2
570,1,SKT,NWM,1.5,1.5,1.5
571,2,SNB,LYS,2.05,3.46,3.33
572,2,SNB,SWF,1.62,1.75,1.75
573,1,SPK,HSD,2.13,2.4,2.4
574,1,SPK,WEM,2.42,3.17,3.17
575,2,SRP,NHT,2.23,2.58,2.5
576,2,SRP,RUG,1.37,2.09,1.54
577,4,SSQ,SKN,2,3,2.5
578,3,SSQ,SKN,2,2.98,2.5
579,4,SSQ,VIC,1.8,2,2
580,3,SSQ,VIC,1.8,2,2
581,6,STA,CPK,1.95,2,2
582,4,STB,RCP,1.4,1.5,1.5
583,4,STB,TGR,1.17,1.97,1.58
584,5,STG,MLE,1.73,2,2
585,4,STG,MLE,1.73,2,2
586,5,STG,WCL,2.63,3.48,2.56
587,4,STG,WCL,2.63,3.54,3.51
588,10,STK,BRX,2.03,2.5,2.5
589,8,STK,CPN,1.55,1.5,1.5
590,8,STK,OVL,2.03,2.5,2.5
591,10,STK,VUX,2.23,2.5,2.5
592,9,STN,ALP,1.95,2.5,2.5
593,9,STN,SHL,2.25,2.5,2.5
594,2,STP,BNK,1.62,2,2
595,2,STP,CYL,1.52,1.75,1.75
596,10,SVS,FPK,3.77,4,4
597,10,SVS,TTH,1.6,1.5,1.5
598,6,SWC,FRD,1.18,2,2
599,6,SWC,SJW,1.52,2,2
600,2,SWF,SNB,1.6,1.75,1.75
601,2,SWF,WFD,1.9,2.34,2.26
602,6,SWK,LON,1.65,2.5,2.5
603,6,SWK,WLO,0.97,1.5,1.5
604,8,SWM,CLW,1.85,2,2
605,8,SWM,MOR,2.95,3.55,3.56
606,8,TBE,BAL,1.65,2,2
607,8,TBE,TBY,1.77,2,2
608,8,TBY,CLW,1.98,2,2
609,8,TBY,TBE,1.88,2,2
610,8,TCR,GST,1.28,1.5,1.5
611,2,TCR,HOL,1.63,2.21,2.01
612,8,TCR,LSQ,0.98,1,1
613,2,TCR,OXC,1.02,1.5,1.5
614,4,TEM,BLF,1.4,2,2
615,3,TEM,BLF,1.4,2,2
616,4,TEM,EMB,1.43,2,2
617,3,TEM,EMB,1.43,2,2.01
618,4,TGR,CHP,1.58,2,2
619,4,TGR,GUN,2.28,3.15,3
620,4,TGR,STB,1.15,1.5,1.5
621,2,THB,DEB,2.88,3.43,3.25
622,2,THB,EPP,2.6,2.76,2.75
623,3,THL,ALD,1.3,4.05,3.18
624,4,THL,ALE,1.88,2.91,2.21
625,4,THL,MON,1.48,1.5,1.5
626,3,THL,MON,1.48,1.5,1.5
627,8,TOT,HBT,4.62,4.83,4.5
628,8,TOT,WSP,2.23,2.5,2.5
629,8,TPK,ARC,1.68,2,2
630,8,TPK,KTN,1.42,1.5,1.5
631,9,TPL,MNR,2.87,3,3
632,9,TPL,WGN,1.57,2,2.02
633,10,TTH,BHR,1.97,2.5,2.5
634,10,TTH,SVS,2,2.77,3.28
635,4,UPB,HCH,1.78,2,2
636,4,UPB,UPM,2.32,2.03,2.01
637,5,UPK,EHM,2.02,2,2
638,4,UPK,EHM,2.02,2,2
639,5,UPK,PLW,1.93,2,2
640,4,UPK,PLW,1.93,2,2.01
641,4,UPM,UPB,2.08,2,2.03
642,4,UPY,BEC,2.33,2.5,2.51
